word,phon
absurd,ɐbsɜd
absurdist,ɐbsɜdɪst
absurdities,ɐbsɜdɪtiz
absurdity,ɐbsɜdɪti
absurdly,ɐbsɜdli
abundance,ɐbʌndəns
abundances,ɐbʌndənsɪz
abundant,ɐbʌndənt
abundantly,ɐbʌndəntli
abused,ɐbjusd
abuser,ɐbjusɐ
abusers,ɐbjusəz
abusing,ɐbjusɪŋ
abusive,ɐbjusɪv
abusively,ɐbjusɪvli
abut,ɐbʌt
abutment,ɐbʌtmənt
abutments,ɐbʌtmənts
abuts,ɐbʌts
abutting,ɐbʌtɪŋ
abuzz,ɐbʌz
aby,ɐba‍ɪ
abysmal,ɐbɪsmə‍l
abysmally,ɐbɪsmə‍li
abyssal,ɐbɪsə‍l
abyss,ɐbɪs
abysses,ɐbɪsɪz
acacia,ɐke‍ɪʃɐ
acacias,ɐke‍ɪʃəz
academe,ɐkædəmi
academia,ækədimi‍ə
academic,ækədɛmɪk
academical,ækədɛmɪkə‍l
academically,ækədɛmɪkli
academician,ækədɪmɪʃən
academicians,ækədɪmɪʃənz
academics,ækədɛmɪks
academies,ɐkædəmɪz
academy,ɐkædəmi
acanthus,ɐkɑnθəs
acceded,ɐksidɪd
accede,ɐksid
acceding,ɐksidɪŋ
accelerando,ɐksɛləɹændə‍ʊ
accelerant,ɐksɛləɹənt
accelerated,ɐksɛləɹe‍ɪtɪd
accelerate,ɐksɛləɹe‍ɪt
accelerates,ɐksɛləɹe‍ɪts
accelerating,ɐksɛləɹe‍ɪtɪŋ
acceleration,ɐksɛləɹe‍ɪʃən
accelerations,ɐksɛləɹe‍ɪʃənz
accelerator,ɐksɛləɹe‍ɪtɐ
accelerators,ɐksɛləɹe‍ɪtəz
accelerometer,ɐksɛləɹɒmɪtɐ
accelerometers,ɐksɛləɹɒmɪtəz
accented,æksəntɪd
accentuate,æksɛnt‍ʃue‍ɪt
accentuated,æksɛnt‍ʃue‍ɪtɪd
accentuates,æksɛnt‍ʃue‍ɪts
accentuating,æksɛnt‍ʃue‍ɪtɪŋ
acceptability,ɐksɛptəbɪlɪti
acceptable,ɐksɛptəbə‍l
acceptably,ɐksɛptəbli
acceptance,ɐksɛptəns
acceptances,ɐksɛptənsɪz
acceptation,ɐksɪpte‍ɪʃən
accepted,ɐksɛptɪd
accepting,ɐksɛptɪŋ
accept,ɐksɛpt
accepts,ɐksɛpts
access,æksɛs
accessed,æksɛst
accesses,æksɛsɪz
accessibility,ɐksɛsəbɪlɪti
accessible,ɐksɛsəbə‍l
accessibly,ɐksɛsəbli
accessing,æksɛsɪŋ
accession,ɐksɛʃən
accessories,ɐksɛsəɹiz
accessorised,ɐksɛsɔɹa‍ɪzd
accessorise,ɐksɛsɔɹa‍ɪz
accessorising,ɐksɛsɔɹa‍ɪzɪŋ
accessory,ɐksɛsəɹi
accident,æksɪdənt
accidental,æksɪdɛntə‍l
accidentally,æksɪdɛntə‍li
accidently,æksɪdəntli
accidents,æksɪdənts
accidie,æksɪdi
acclaimed,ɐkle‍ɪmd
acclaiming,ɐkle‍ɪmɪŋ
acclaim,ɐkle‍ɪm
acclaims,ɐkle‍ɪmz
acclamation,ɐklɐme‍ɪʃən
acclimated,ɐkla‍ɪmətɪd
acclimate,ɐkla‍ɪmət
acclimatisation,ɐkla‍ɪmɐta‍ɪze‍ɪʃən
acclimatised,ɐkla‍ɪmɐta‍ɪzd
acclimatise,ɐkla‍ɪmɐta‍ɪz
acclimatising,ɐkla‍ɪmɐta‍ɪzɪŋ
accolade,ækəle‍ɪd
accolades,ækəle‍ɪdz
accommodated,ɐkɒməde‍ɪtɪd
accommodate,ɐkɒməde‍ɪt
accommodates,ɐkɒməde‍ɪts
accommodating,ɐkɒməde‍ɪtɪŋ
accommodation,ɐkɒməde‍ɪʃən
accommodations,ɐkɒməde‍ɪʃənz
accompanied,ɐkʌmpənɪd
accompanies,ɐkʌmpənɪz
accompaniment,ɐkʌmpɐnɪmənt
accompaniments,ɐkʌmpɐnɪmənts
accompanist,ɐkʌmpɐnɪst
accompanists,ɐkʌmpɐnɪsts
accompanying,ɐkʌmpənɪɪŋ
accompany,ɐkʌmpəni
accomplice,ɐkɒmplɪs
accomplices,ɐkɒmplɪsɪz
accomplished,ɐkɒmplɪʃt
accomplishes,ɐkɒmplɪʃɪz
accomplishing,ɐkɒmplɪʃɪŋ
accomplish,ɐkɒmplɪʃ
accomplishment,ɐkɒmplɪʃmənt
accomplishments,ɐkɒmplɪʃmənts
accordance,ɐkɔdəns
accordant,ɐkɔdənt
accorded,ɐkɔdɪd
according,ɐkɔdɪŋ
accordingly,ɐkɔdɪŋli
accordionist,ɐkɔdɪənɪst
accordionists,ɐkɔdɪənɪsts
accordion,ɐkɔdi‍ən
accordions,ɐkɔdi‍ənz
accord,ɐkɔd
accords,ɐkɔdz
accosted,ɐkɒstɪd
accosting,ɐkɒstɪŋ
accost,ɐkɒst
accosts,ɐkɒsts
accountability,ɐka‍ʊntəbɪlɪti
accountable,ɐka‍ʊntəbə‍l
accountancy,ɐka‍ʊntənsi
accountant,ɐka‍ʊntənt
accountants,ɐka‍ʊntənts
accounted,ɐka‍ʊntɪd
accounting,ɐka‍ʊntɪŋ
account,ɐka‍ʊnt
accounts,ɐka‍ʊnts
accoutred,ɐkutɹəd
accoutrement,ɐkutɹɪmənt
accoutrements,ɐkutɹɪmənts
accreditation,ɐkɹɛdɪte‍ɪʃən
accredited,ɐkɹɛdɪtɪd
accredits,ɐkɹɛdɪts
accreted,ɐkɹitɪd
accrete,ɐkɹit
accretion,ɐkɹɛʃən
accretions,ɐkɹɛʃənz
accrual,ɐkɹuə‍l
accrued,ɐkɹud
accrue,ɐkɹu
accrues,ɐkɹuz
accruing,ɐkɹuɪŋ
acculturated,ɐkʌlt‍ʃəɹe‍ɪtɪd
accumulated,ɐkjumjʊle‍ɪtɪd
accumulate,ɐkjumjʊle‍ɪt
accumulates,ɐkjumjʊle‍ɪts
accumulating,ɐkjumjʊle‍ɪtɪŋ
accumulation,ɐkjumjʊle‍ɪʃən
accumulations,ɐkjumjʊle‍ɪʃənz
accumulative,ɐkjumjʊlətɪv
accumulator,ɐkjumjʊle‍ɪtɐ
accumulators,ɐkjumjʊle‍ɪtəz
accuracy,ækjʊɹəsi
accurate,ækjʊɹət
accurately,ækjʊɹətli
accursed,ɐkɜsɪd
accusation,ækjuze‍ɪʃən
accusations,ækjuze‍ɪʃənz
accusative,ɐkjuzətɪv
accusatory,ɐkjuzətəɹi
accused,ɐkjuzd
accuse,ɐkjuz
accuser,ɐkjuzɐ
accusers,ɐkjuzəz
accuses,ɐkjuzɪz
accusing,ɐkjuzɪŋ
accusingly,ɐkjuzɪŋli
accustomed,ɐkʌstəmd
accustom,ɐkʌstəm
aced,e‍ɪst
ace,e‍ɪs
acerbic,ɐsɜbɪk
aces,e‍ɪsɪz
acetate,æsɪte‍ɪt
acetates,æsɪte‍ɪts
acetic,ɐsitɪk
acetone,æsɪtə‍ʊn
acetyl,æsɪta‍ɪl
acetylene,ɐsɛtəlin
ached,e‍ɪkt
aches,e‍ɪkz
achievable,ɐt‍ʃivəbə‍l
achieved,ɐt‍ʃivd
achievements,ɐt‍ʃivmənts
achievement,ɐt‍ʃivmənt
achievers,ɐt‍ʃivəz
achiever,ɐt‍ʃivɐ
achieves,ɐt‍ʃivz
achieve,ɐt‍ʃiv
achieving,ɐt‍ʃivɪŋ
aching,e‍ɪkɪŋ
achingly,ɐt‍ʃɪŋli
achoo,ɐt‍ʃu
achy,e‍ɪki
acid,æsɪd
acidic,ɐsɪdɪk
acidification,ɐsɪdɪfɪke‍ɪʃən
acidified,ɐsɪdɪfa‍ɪd
acidifying,ɐsɪdɪfa‍ɪɪŋ
acidify,ɐsɪdɪfa‍ɪ
acidity,æsɪdɪti
acidosis,ɐsɪdə‍ʊsɪs
acidotic,ɐsɪdɒtɪk
acids,æsɪdz
acidulated,ɐsɪdjʊle‍ɪtɪd
acing,e‍ɪsɪŋ
acknowledged,ɐknɒlɪd‍ʒd
acknowledge,ɐknɒlɪd‍ʒ
acknowledgement,ɐknɒlɪd‍ʒmənt
acknowledges,ɐknɒlɪd‍ʒɪz
acknowledging,ɐknɒlɪd‍ʒɪŋ
acknowledgment,ɐknɒlɪd‍ʒmənt
acknowledgments,ɐknɒlɪd‍ʒmənts
acme,ækmi
acne,ækni
acolyte,ækəla‍ɪt
acolytes,ækəla‍ɪts
aconite,ækəna‍ɪt
aconites,ækəna‍ɪts
acorn,e‍ɪkɔn
acorns,e‍ɪkɔnz
acoustical,ɐkustɪkə‍l
acoustically,ɐkustɪkli
acoustician,ɐkustɪʃən
acousticians,ɐkustɪʃənz
acoustic,ɐkustɪk
acoustics,ɐkustɪks
acquaintance,ɐkwe‍ɪntəns
acquaintances,ɐkwe‍ɪntənsɪz
acquainted,ɐkwe‍ɪntɪd
acquainting,ɐkwe‍ɪntɪŋ
acquaint,ɐkwe‍ɪnt
acquiesce,ækwɪɛs
acquiesced,ækwɪɛst
acquiescence,ækwɪɛsəns
acquiescent,ækwɪɛsənt
acquiesces,ækwɪɛsɪz
acquiescing,ækwɪɛsɪŋ
acquired,ɐkwa‍ɪ‍əd
acquire,ɐkwa‍ɪ‍ə
acquirer,ɐkwa‍ɪ‍əɹɐ
acquires,ɐkwa‍ɪ‍əz
acquiring,ɐkwa‍ɪ‍əɹɪŋ
acquisition,ɐkwɪsɪʃən
acquisitions,ɐkwɪsɪʃənz
acquisitive,ɐkwɪzɪtɪv
acquit,ɐkwɪt
acquits,ɐkwɪts
acquittal,ɐkwɪtə‍l
acquittals,ɐkwɪtə‍lz
acquitted,ɐkwɪtɪd
acquitting,ɐkwɪtɪŋ
acreage,e‍ɪkəɹɪd‍ʒ
acreages,e‍ɪkəɹɪd‍ʒɪz
acred,e‍ɪkəd
acres,e‍ɪkəz
acrid,ækɹɪd
acrimonious,ækɹɪmə‍ʊnɪəs
acrimoniously,ækɹɪmə‍ʊnɪəsli
acrimony,ækɹɪməni
acrobat,ækɹəbæt
acrobatic,ækɹəbætɪk
acrobatically,ækɹəbætɪkli
acrobatics,ækɹəbætɪks
acrobats,ækɹəbæts
acromegaly,ækɹə‍ʊmɡəli
acromion,ækɹə‍ʊmi‍ən
acronym,ækɹənɪm
acronyms,ækɹənɪmz
acrophobia,ækɹəfə‍ʊbi‍ə
acropolis,ækɹɒpəliz
across,əkɹɒs
acrostics,ækɹɒstɪks
acrylic,ɐkɹɪlɪk
acrylics,ɐkɹɪlɪks
act,ækt
acted,æktɪd
acting,æktɪŋ
actinic,æktɪnɪk
actinide,æktɪna‍ɪd
actinium,æktɪni‍əm
actionable,ækʃənəbə‍l
action,ækʃən
actions,ækʃənz
activate,æktɪve‍ɪt
activated,æktɪve‍ɪtɪd
activates,æktɪve‍ɪts
activating,æktɪve‍ɪtɪŋ
activation,æktɪve‍ɪʃən
activations,æktɪve‍ɪʃənz
activator,æktɪve‍ɪtɐ
active,æktɪv
actively,æktɪvli
actives,æktɪvz
activism,æktɪvɪzəm
activist,æktɪvɪst
activists,æktɪvɪsts
activities,æktɪvɪtiz
activity,æktɪvɪti
actor,æktɐ
actors,æktəz
actress,æktɹəs
actresses,æktɹəsɪz
acts,ækts
actual,ækt‍ʃuə‍l
actualisation,ækt‍ʃuəla‍ɪze‍ɪʃən
actualise,ækt‍ʃuəla‍ɪz
actualised,ækt‍ʃuəla‍ɪzd
actualities,ækt‍ʃuælɪtiz
actuality,ækt‍ʃuælɪti
actually,ækt‍ʃuə‍li
actuarial,ækt‍ʃue‍əɹɪəl
actuarially,ækt‍ʃue‍əɹɪəli
actuaries,ækt‍ʃuəɹiz
actuary,ækt‍ʃuəɹi
actuated,ækt‍ʃue‍ɪtɪd
actuator,ækt‍ʃue‍ɪtɐ
actuators,ækt‍ʃue‍ɪtəz
acuity,ɐkjuɪti
acumen,ækjumɛn
acupressure,ækəpɹɛʃɐ
acupuncture,ækjupʌŋkt‍ʃɐ
acupuncturist,ækjupʌŋkt‍ʃəɹɪst
acute,ɐkjut
acutely,ɐkjutli
acuteness,ɐkjutnəs
acuter,ɐkjutɐ
acyclovir,ɐka‍ɪkləvi‍ə
adage,ædɪd‍ʒ
adages,ædɪd‍ʒɪz
adagio,ædɑd‍ʒɪə‍ʊ
adamant,ædəmənt
adamantine,ædɐmɑntin
adamantly,ædəməntli
adaptability,ɐdæptəbɪlɪti
adaptable,ɐdæptəbə‍l
adaptation,ɐdɐpte‍ɪʃən
adaptations,ɐdɐpte‍ɪʃənz
adapt,ɐdæpt
adapted,ɐdæptɪd
adapter,ɐdæptɐ
adapters,ɐdæptəz
adapting,ɐdæptɪŋ
adaption,ɐdæpʃən
adaptions,ɐdæpʃənz
adaptive,ɐdæptɪv
adaptively,ɐdæptɪvli
adaptor,ɐdæptɐ
adaptors,ɐdæptəz
adapts,ɐdæpts
add,æd
added,ædɪd
addendum,ɐdɛndəm
adder,ædɐ
adders,ædəz
addicted,ɐdɪktɪd
addicting,ɐdɪktɪŋ
addiction,ɐdɪkʃən
addictions,ɐdɪkʃənz
addictive,ɐdɪktɪv
adding,ædɪŋ
additional,ɐdɪʃənə‍l
additionally,ɐdɪʃənə‍li
addition,ɐdɪʃən
additions,ɐdɪʃənz
additive,ædɪtɪv
additives,ædɪtɪvz
addle,ædə‍l
addled,ædə‍ld
addles,ædə‍lz
addling,ædlɪŋ
addressable,ɐdɹɛsəbə‍l
addressed,ɐdɹɛst
addressee,ɐdɹɛsi
addresses,ɐdɹɛsɪz
addressing,ɐdɹɛsɪŋ
adds,ædz
adduced,ɐdjust
adduce,ɐdjus
adductor,ɐdʌktɐ
adeptly,ɐdɛptli
adeptness,ɐdɛptnəs
adequacy,ædɪkwəsi
adequate,ædɪkwət
adequately,ædɪkwətli
adhered,ædhi‍əd
adhere,ɐdhi‍ə
adherence,ɐdhi‍əɹəns
adherent,ɐdhi‍əɹənt
adherents,ɐdhi‍əɹənts
adheres,ɐdhi‍əz
adhering,ædhi‍əɹɪŋ
adhesion,ɐdhiʒən
adhesive,ɐdhisɪv
adhesives,ɐdhisɪvz
adjacent,ɐd‍ʒe‍ɪsənt
adjectival,æd‍ʒɪkta‍ɪvə‍l
adjective,æd‍ʒɪktɪv
adjectives,æd‍ʒɪktɪvz
adjoin,ɐd‍ʒɔ‍ɪn
adjoined,ɐd‍ʒɔ‍ɪnd
adjoining,ɐd‍ʒɔ‍ɪnɪŋ
adjoins,ɐd‍ʒɔ‍ɪnz
adjourn,ɐd‍ʒɜn
adjourned,ɐd‍ʒɜnd
adjourning,ɐd‍ʒɜnɪŋ
adjournment,ɐd‍ʒɜnmənt
adjourns,ɐd‍ʒɜnz
adjudged,ɐd‍ʒʌd‍ʒd
adjudicated,ɐd‍ʒudɪke‍ɪtɪd
adjudicate,ɐd‍ʒudɪke‍ɪt
adjudicates,ɐd‍ʒudɪke‍ɪts
adjudicating,ɐd‍ʒudɪke‍ɪtɪŋ
adjudication,ɐd‍ʒudɪke‍ɪʃən
adjudications,ɐd‍ʒudɪke‍ɪʃənz
adjudicator,ɐd‍ʒudɪke‍ɪtɐ
adjudicators,ɐd‍ʒudɪke‍ɪtəz
adjunct,ædd‍ʒʌŋkt
adjustable,ɐd‍ʒʌstəbə‍l
adjust,ɐd‍ʒʌst
adjusted,ɐd‍ʒʌstɪd
adjuster,ɐd‍ʒʌstɐ
adjusters,ɐd‍ʒʌstəz
adjusting,ɐd‍ʒʌstɪŋ
adjustment,ɐd‍ʒʌstmənt
adjustments,ɐd‍ʒʌstmənts
adjustor,ɐd‍ʒʌstɐ
adjustors,ɐd‍ʒʌstəz
adjusts,ɐd‍ʒʌsts
adjutant,æd‍ʒutənt
adjuvant,ɐd‍ʒuvənt
administer,ɐdmɪnɪstɐ
administered,ɐdmɪnɪstəd
administering,ɐdmɪnɪstəɹɪŋ
administers,ɐdmɪnɪstəz
administrate,ɐdmɪnɪstɹe‍ɪt
administrating,ɐdmɪnɪstɹe‍ɪtɪŋ
administration,ɐdmɪnɪstɹe‍ɪʃən
administrations,ɐdmɪnɪstɹe‍ɪʃənz
administrative,ɐdmɪnɪstɹətɪv
administrator,ɐdmɪnɪstɹe‍ɪtɐ
administrators,ɐdmɪnɪstɹe‍ɪtəz
admirable,ædməɹəbə‍l
admirably,ædməɹəbli
admiral,ædmɜɹə‍l
admirals,ædmɜɹə‍lz
admiralty,ædməɹə‍lti
admiration,ædməɹe‍ɪʃən
admired,ɐdma‍ɪ‍əd
admire,ɐdma‍ɪ‍ə
admirer,ɐdma‍ɪ‍əɹɐ
admirers,ɐdma‍ɪ‍əɹəz
admires,ɐdma‍ɪ‍əz
admiring,ɐdma‍ɪ‍əɹɪŋ
admiringly,ɐdma‍ɪ‍əɹɪŋli
admissibility,ɐdmɪsəbɪlɪti
admissible,ɐdmɪsəbə‍l
admission,ɐdmɪʃən
admissions,ɐdmɪʃənz
admit,ɐdmɪt
admits,ɐdmɪts
admittance,ɐdmɪtəns
admitted,ɐdmɪtɪd
admittedly,ɐdmɪtɪdli
admitting,ɐdmɪtɪŋ
admixture,ɐdmɪkst‍ʃɐ
admonish,ɐdmɒnɪʃ
admonished,ɐdmɒnɪʃt
admonishes,ɐdmɒnɪʃɪz
admonishing,ɐdmɒnɪʃɪŋ
admonishment,ɐdmɒnɪʃmənt
admonition,ædmənɪʃən
admonitions,ædmənɪʃənz
adobe,ɐdə‍ʊbi
adolescence,ædəlɛsəns
adolescent,ædəlɛsənt
adolescents,ædəlɛsənts
adoptable,ɐdɒptəbə‍l
adopt,ɐdɒpt
adopted,ɐdɒptɪd
adoptee,ɐdɒpti
adopter,ɐdɒptɐ
adopters,ɐdɒptəz
adopting,ɐdɒptɪŋ
adoption,ɐdɒpʃən
adoptions,ɐdɒpʃənz
adoptive,ɐdɒptɪv
adopts,ɐdɒpts
adorable,ɐdɔɹəbə‍l
adorableness,ɐdɔɹəbə‍lnəs
adorably,ɐdɔɹəbli
adoration,ædəɹe‍ɪʃən
adored,ɐdɔd
adore,ɐdɔ
adorers,ɐdɔɹəz
adores,ɐdɔz
adoring,ɐdɔɹɪŋ
adoringly,ɐdɔɹɪŋli
adorn,ɐdɔn
adorned,ɐdɔnd
adorning,ɐdɔnɪŋ
adornment,ɐdɔnmənt
adornments,ɐdɔnmənts
adorns,ɐdɔnz
adown,ɐda‍ʊn
adrenal,ɐdɹinə‍l
adrenalin,ɐdɹɛnɐlɪn
adrenaline,ɐdɹɛnəlɪn
adrift,ɐdɹɪft
ads,ædz
adsorption,ɐdsɔpʃən
adulate,ædjʊle‍ɪt
adulated,ædjʊle‍ɪtɪd
adulation,ædjʊle‍ɪʃən
adult,ædʌlt
adulterated,ɐdʌltəɹe‍ɪtɪd
adulterating,ɐdʌltəɹe‍ɪtɪŋ
adulteration,ɐdʌltəɹe‍ɪʃən
adulterer,ɐdʌltəɹɐ
adulterers,ɐdʌltəɹəz
adulteress,ɐdʌltəɹəs
adulteresses,ɐdʌltəɹəsɪz
adulteries,ɐdʌltəɹiz
adulterous,ɐdʌltəɹəs
adultery,ɐdʌltəɹi
adulthood,ɐdʌlthʊd
adults,ædʌlts
advanced,ɐdvænst
advance,ɐdvæns
advancement,ɐdvænsmənt
advancements,ɐdvænsmənts
advances,ɐdvænsɪz
advancing,ɐdvænsɪŋ
advantaged,ɐdvɑntɪd‍ʒd
advantage,ɐdvɑntɪd‍ʒ
advantageous,ɐdvɑnte‍ɪd‍ʒəs
advantageously,ɐdvɑnte‍ɪd‍ʒəsli
advantages,ɐdvɑntɪd‍ʒɪz
advent,ædvɛnt
adventitious,ædvɪntɪʃəs
adventured,ɐdvɛnt‍ʃəd
adventure,ɐdvɛnt‍ʃɐ
adventurer,ɐdvɛnt‍ʃəɹɐ
adventurers,ɐdvɛnt‍ʃəɹəz
adventures,ɐdvɛnt‍ʃəz
adventuresome,ɐdvɛnt‍ʃəsʌm
adventuress,ɐdvɛnt‍ʃəɹɛs
adventuring,ɐdvɛnt‍ʃəɹɪŋ
adventurism,ɐdvɛnt‍ʃəɹɪzəm
adventurist,ɐdvɛnt‍ʃəɹɪst
adventurists,ɐdvɛnt‍ʃəɹɪsts
adventurous,ɐdvɛnt‍ʃəɹəs
adventurously,ɐdvɛnt‍ʃəɹəsli
adventurousness,ɐdvɛnt‍ʃəɹəsnəs
adverb,ædvɜb
adverbs,ædvɜbz
adversarial,ædvəse‍əɹɪəl
adversaries,ædvəsəɹiz
adversary,ædvəsəɹi
adverse,ædvɜs
adversely,ædvɜsli
adversities,ædvəsɪtiz
adversity,ædvəsɪti
adverted,ɐdvɜtɪd
advertise,ædvəta‍ɪz
advertised,ædvəta‍ɪzd
advertisement,ɐdvɜtɪsmənt
advertisements,ædvəta‍ɪzmənts
advertiser,ædvəta‍ɪzɐ
advertisers,ædvəta‍ɪzəz
advertises,ædvəta‍ɪzɪz
advertising,ædvəta‍ɪzɪŋ
advice,ɐdva‍ɪs
advices,ɐdva‍ɪsɪz
advisability,ɐdva‍ɪzəbɪlɪti
advisable,ɐdva‍ɪzəbə‍l
advised,ɐdva‍ɪzd
